unique_id,ExtraDay
N16B_L_VR,0
N16B_M_VR,1
A50A_S_VR,0
A09C_S_VR,0
B48A_S_VR,0
A50A_L_PO,0
T30_S_VR,0
W76B_L_VR,0
T55_L_VR,0
T55_S_VR,0
H19A_S_VR,0
D87B_S_VR,0
J11_S_VR,0
W76B_S_VR,0
A50E_S_VR,0
U15A_S_VR,0
Y25B_S_VR,0
Q03B_S_VR,0
L87_S_VR,0
Z13B_S_VR,0
L92C_S_VR,0
L92C_M_VR,0
U14_S_VR,0
H01A_S_VR,0
H19A_M_VR,0
X74B_S_VR,0
M50_S_VR,0
W74_S_VR,0
R53A_S_VR,0
D05_S_VR,0
D05_L_PO,0
K73_S_VR,0
W21A_S_VR,0
H55B_M_VR,0
D27_L_VR,0
D27_S_VR,0
C61A_S_VR,0
D65B_M_VR,0
X91_S_VR,0
X76_L_VR,0
X76_S_VR,0
H55A_S_VR,0
R37_M_VR,0
Y04A_S_VR,0
X74B_L_VR,0
A89B_M_VR,0
B86A_S_VR,0
N44V_L_PO,1
H20C_M_VR,1
K20_S_VR,0
X92_S_VR,0
A73B_S_VR,0
L93_S_VR,0
Z20_S_VR,0
B71V_S_PO,0
L110_S_VR,0
B49_M_VR,0
B71V_M_PO,0
B03A_S_VR,0
Z07_S_VR,0
H21B_M_VR,0
Y89B_S_VR,0
A23_S_VR,0
A23_L_VR,0
L08_M_VR,0
B27A_S_VR,0
X36B_L_PO,0
X36B_S_VR,0
R24B_S_VR,0
Y83_S_VR,0
B34_L_VR,0
R26A_S_VR,0
W28A_S_VR,0
T73A_M_VR,0
Y49A_S_VR,0
Y90_S_VR,0
B65A_S_VR,0
W28B_S_VR,0
J35A_S_VR,0
L101B_S_VR,0
W48B_S_VR,0
D71A_S_VR,0
B68A_S_VR,0
Y21B_S_VR,0
N31A_S_VR,0
X36A_S_VR,0
B83A_S_VR,0
W49A_S_VR,0
M35B_S_VR,0
L07_S_VR,0
C01A_S_VR,0
T48A_S_VR,0
U18A_S_VR,0
B24A_S_VR,1
U28D_S_VR,0
M35A_S_VR,0
Y91_S_VR,0
P05A_S_VR,0
X32B_S_VR,0
D70B_S_VR,0
N35_S_VR,0
N30_M_VR,0
Y82B_S_VR,0
D32_S_VR,0
T48B_S_VR,0
D76A_S_VR,0
C41B_S_VR,0
R26B_S_VR,0
R26B_L_VR,0
B68B_S_VR,0
B68B_M_VR,0
X32B_L_VR,0
X97A_S_VR,0
Y82A_S_VR,0
J33_S_VR,0
W49B_S_VR,0
W49B_L_VR,0
B23_S_VR,0
C41A_S_VR,0
U29_S_VR,0
Y29_S_VR,0
X32A_S_VR,0
A70A_S_VR,0
Y81C_S_VR,0
X48V_S_PO,0
X48V_M_PO,0
Y23A_S_VR,0
X28A_S_VR,0
Y40A_S_VR,0
U03B_S_VR,0
N16I_M_VR,1
X78A_S_VR,0
M51B_L_VR,0
L31_S_VR,0
M51B_S_VR,0
T56A_S_VR,0
D83_M_VR,0
D83_L_VR,0
C26A_S_VR,0
R04_S_VR,0
A84A_M_VR,1
I13B_M_VR,0
W75B_S_VR,0
M46_M_VR,0
R47_S_VR,0
L32_S_VR,0
Y61A_S_VR,0
C60A_S_VR,0
A84C_M_VR,0
D18C_S_VR,0
B75B_M_VR,0
B80A_S_VR,0
K63A_S_VR,0
N16D_M_VR,1
P15_S_VR,0
W76A_S_VR,0
X10B_S_VR,0
X10A_S_VR,0
B71B_S_VR,0
D18C_L_VR,0
U16A_S_VR,0
Y62B_S_VR,0
A33B_L_VR,0
Q03A_S_VR,0
A33B_S_VR,0
T22A_S_VR,0
Y59_S_VR,0
A50B_S_VR,0
B48B_S_VR,0
C60C_S_VR,0
D56_S_VR,0
D86_M_VR,0
B52_M_VR,0
A55A_S_VR,0
D85_L_VR,0
L89_S_VR,0
W77A_S_VR,0
W75A_S_VR,0
A09V_S_VR,0
V89B_S_VR,0
L41A_S_VR,0
B72A_S_VR,0
Y41C_S_VR,0
H20A_S_VR,1
A11A_S_VR,0
A89A_M_VR,1
R02B_S_VR,0
A54C_S_VR,0
B75B_S_VR,0
M63_S_VR,0
X13_M_VR,0
D62A_S_VR,0
D61_S_VR,0
D61_M_VR,0
B47A_S_VR,0
B59A_S_VR,0
T23_S_VR,0
A09A_S_VR,0
J10_S_VR,0
Q12_S_VR,0
M46_S_VR,0
B59V_M_PO,0
X75_S_VR,0
B72B_M_VR,0
L41B_S_VR,0
B72B_S_VR,0
Z24_S_VR,0
Q03C_L_PO,0
A84B_M_VR,0
A10_L_PO,0
A10_S_VR,0
B82C_M_VR,1
A86A_M_VR,0
Y63_S_VR,0
D63_M_VR,0
D63_S_VR,0
H18B_M_VR,0
B50A_S_VR,0
D59_S_VR,0
Y63_L_VR,0
A68A_L_PO,0
A68A_S_VR,0
D60_M_VR,0
X11B_S_VR,0
X77A_S_VR,0
A50D_S_VR,0
X74A_S_VR,0
H18A_S_VR,0
F07A_S_VR,0
T57_M_VR,0
M61_M_VR,0
Y62A_S_VR,0
V16_S_VR,0
D38C_S_VR,0
C26B_S_VR,0
B59B_S_VR,0
V46B_M_VR,0
W20A_S_VR,0
B60_M_VR,0
T22B_S_VR,0
Z13A_S_VR,0
L47A_S_VR,0
H41A_S_VR,0
A09B_S_VR,0
T26A_S_VR,0
T26B_S_VR,0
X77B_S_VR,0
B47B_S_VR,0
M60_M_VR,0
M51A_S_VR,0
A65D_S_VR,0
D84V_M_VR,0
H21A_S_VR,0
W02_S_VR,0
X77B_L_VR,0
P09_S_VR,1
R53B_S_VR,1
L88_S_VR,0
L111_S_VR,0
D87A_S_VR,0
X11A_M_VR,0
L68A_S_VR,0
Z23_S_VR,0
C60B_S_VR,0
R03_S_VR,1
B91_M_VR,0
R02A_S_VR,0
T26C_S_VR,0
C12_S_VR,0
C12_L_VR,0
W20B_S_VR,0
W20B_M_VR,0
D62B_M_VR,0
L92A_S_VR,0
D84_M_VR,0
T55V_L_PO,0
D70A_S_VR,0
B40V_S_PO,0
W33A_S_VR,0
Y85B_S_VR,0
T46A_S_VR,0
D74A_S_VR,0
B29A_S_VR,0
B75V_S_PO,0
X42_S_VR,0
X48B_S_VR,0
X48B_M_VR,0
I11_S_VR,0
W47A_S_VR,0
B33A_S_VR,0
C42B_S_VR,0
R25B_S_VR,0
J35B_S_VR,0
V50_S_VR,0
A22_S_VR,0
A22_L_VR,0
Y31B_S_VR,0
N45B_M_VR,0
Y21D_L_PO,0
C46_S_VR,0
B67_M_VR,0
B76A_S_VR,0
Y21DV_L_PO,0
W30B_S_VR,0
L13_S_VR,0
X41A_L_VR,0
X41A_S_VR,0
B65B_M_VR,0
B65B_S_VR,0
W47B_S_VR,0
W47B_L_VR,0
M36B_S_VR,0
I48_S_VR,0
A19_L_VR,0
A19_S_VR,0
L101A_S_VR,0
V52_S_VR,0
Q01A_S_VR,0
U28A_S_VR,1
B33B_S_VR,0
B28_S_VR,0
X48C_M_VR,0
L100_S_VR,0
Y88B_S_VR,0
W30A_S_VR,0
X48C_L_VR,0
A56A_S_VR,0
W33A_L_PO,0
N32A_S_VR,1
C01B_S_VR,0
P38_L_VR,0
N31B_S_VR,0
D74B_S_VR,0
W48A_S_VR,0
M36A_S_VR,0
Y89A_S_VR,0
D03B_S_VR,0
D71B_S_VR,0
M39_S_VR,0
N34B_S_VR,0
Y85A_S_VR,0
F25B_S_VR,0
C42A_S_VR,0
Q01A_L_PO,0
V53_S_VR,0
Y84_S_VR,0
X97B_S_VR,0
B27B_L_VR,0
B27B_S_VR,0
T47V_S_PO,0
A72A_S_VR,0
Y15B_S_VR,0
N17A_L_VR,1
N17A_M_VR,1
M44A_S_VR,0
Y50A_S_VR,0
T71_S_VR,0
N17A_S_VR,1
Z03_S_VR,0
R17_S_VR,0
M08A_S_VR,0
C29B_M_VR,0
C29B_S_VR,0
R34A_S_VR,0
R34A_M_VR,0
W22A_S_VR,0
M44B_S_VR,0
M44B_M_VR,0
L106_S_VR,0
R16A_S_VR,0
B44B_S_VR,0
A11V_S_VR,0
T72V_M_PO,0
B70B_S_VR,0
C10A_S_VR,0
A65B_S_VR,0
L40A_S_VR,0
X64B_S_VR,0
T52_S_VR,0
L98_M_VR,0
L98_S_VR,0
Z04A_S_VR,0
A69B_S_VR,0
A32A_S_VR,0
I13A_S_VR,0
T63_S_VR,0
B86C_M_VR,0
B86C_S_VR,0
Y24B_S_VR,0
Q14B_S_VR,0
B62A_S_VR,0
L23_M_VR,0
L23_S_VR,0
Q02A_S_VR,0
D66C_S_VR,0
W67A_S_VR,0
W21D_L_PO,0
X65A_S_VR,0
W67B_S_VR,0
B45A_S_VR,0
D66B_S_VR,0
R15_M_VR,0
R15_S_VR,0
A73AL_S_PO,0
L107_S_VR,0
H41B_S_VR,0
W21C_S_VR,0
B70V_M_PO,0
T39_S_VR,0
Y41B_S_VR,0
Y01B_S_VR,0
Z04B_S_VR,0
Y28B_S_VR,0
Y24C_S_VR,0
Q14B_L_VR,0
L97_M_VR,0
L97_S_VR,0
U16B_S_VR,0
C29A_S_VR,0
X18A_S_VR,0
Y24C_M_VR,0
R14_S_VR,0
C10B_S_VR,0
I47_S_VR,0
A86B_M_VR,0
M40_M_VR,0
R24A_S_VR,0
F28_S_VR,1
B40A_S_VR,0
M40_S_VR,0
X53A_S_VR,0
X53A_L_VR,0
L14_L_VR,0
N37A_M_VR,1
N37A_L_VR,0
T48C_S_VR,0
N18V_M_VR,0
D76B_S_VR,0
R23_S_VR,0
H42_S_VR,0
B64_M_VR,0
Y93A_M_VR,0
X53B_S_VR,0
W50_S_VR,0
W50_L_VR,0
B40B_S_VR,0
I25_S_VR,0
U17_M_VR,1
W25_S_VR,0
Y92_S_VR,0
R29_S_VR,0
B02A_S_VR,0
L06_S_VR,0
D29_S_VR,0
W53_S_VR,0
R31A_S_VR,0
J32_S_VR,0
T65_S_VR,0
D39_S_VR,0
Y81B_S_VR,0
R22_S_VR,0
T49A_S_VR,0
X27B_L_VR,0
B02A_L_VR,0
X27B_S_VR,0
A25_S_VR,0
A15B_S_VR,0
W24_S_VR,0
Y40B_S_VR,0
B69A_S_VR,0
M41A_S_VR,0
Y93B_M_VR,0
Y43B_S_VR,0
V44A_S_VR,0
P51B_S_VR,0
M34A_M_VR,0
Y49B_S_VR,0
L38A_S_VR,0
M34A_S_VR,0
L102A_S_VR,0
L102A_L_PO,0
T43_S_VR,0
L48_S_VR,0
L66_S_VR,0
R31B_S_VR,0
B41_S_VR,0
B81A_S_VR,1
B81A_M_VR,1
N18A_L_VR,0
X56A_S_VR,0
N18A_M_VR,0
D77A_S_VR,0
B81A_L_VR,0
Y81A_S_VR,0
F35A_S_VR,0
Y23B_S_VR,0
L20A_S_VR,0
X27A_S_VR,0
M41B_S_VR,0
Y21A_S_VR,0
Y23B_M_VR,0
D69_S_VR,0
L65_S_VR,0
M37D_S_VR,0
J52B_S_VR,0
B31A_S_VR,0
H43_S_VR,0
B31B_S_VR,0
T47A_S_VR,0
X98_S_VR,0
L24_M_VR,0
L24_S_VR,0
I10A_S_VR,0
C44A_S_VR,0
R25A_S_VR,0
R25A_L_PO,0
I47V_M_PO,0
I24B_S_VR,0
B66A_S_VR,0
X45B_S_VR,0
B30_S_VR,0
W57_S_VR,0
A63_S_VR,0
N34A_L_VR,1
N34A_M_VR,1
N34A_S_VR,1
N33_S_VR,0
M38A_S_VR,0
M38A_M_VR,0
B31V_S_VR,0
Y86_S_VR,0
W40_S_VR,0
D73_S_VR,0
M37C_M_VR,0
M37C_S_VR,0
W42A_S_VR,0
A21_S_VR,0
A72B_S_VR,0
N45AV_S_PO,1
A72B_L_PO,0
X47A_S_VR,0
W33B_S_VR,0
M37B_S_VR,0
B66B_S_VR,0
B66B_M_VR,0
Y05B_S_VR,0
Y21CV_S_PO,0
R24C_S_VR,0
B32A_S_VR,0
C44B_S_VR,0
Q13_S_VR,0
U28C_M_VR,0
M37A_S_VR,0
Y87_S_VR,0
I08_S_VR,0
X45A_S_VR,0
T64B_S_VR,0
Y44A_S_VR,0
B65V_S_PO,0
W42B_S_VR,0
J52A_S_VR,0
M38B_S_VR,0
M38B_M_VR,0
Y88A_S_VR,0
B29B_S_VR,0
Y31A_S_VR,0
U28B_S_VR,0
W46_S_VR,0
D72_S_VR,0
X47B_M_VR,0
B32B_S_VR,0
I44B_S_VR,0
T47B_S_VR,0
N34AV_S_VR,1
N34AV_M_VR,1
